"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"two-choice","95","360751","0.0-3.92-0.92","489","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","46"
"two-choice","96","363510","0.0-3.93-0.93","486","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","47"
"two-choice","97","366310","0.0-3.94-0.94","534","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","48"
"two-choice","98","369020","0.0-3.95-0.95","439","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","49"
"two-choice","99","371759","0.0-3.96-0.96","454","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","50"
"two-choice","100","374695","0.0-3.97-0.97","663","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","51"
"two-choice","101","377501","0.0-3.98-0.98","534","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","52"
"two-choice","102","380251","0.0-3.99-0.99","472","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","52"
"two-choice","103","383068","0.0-3.100-0.100","535","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","53"
"two-choice","104","385725","0.0-3.101-0.101","385","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","54"
"two-choice","105","388479","0.0-3.102-0.102","472","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","54"
"two-choice","106","391222","0.0-3.103-0.103","469","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","55"
"two-choice","107","393895","0.0-3.104-0.104","394","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","55"
"two-choice","108","396564","0.0-3.105-0.105","389","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","56"
"two-choice","109","399367","0.0-3.106-0.106","518","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","56"
"two-choice","110","402122","0.0-3.107-0.107","481","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","56"
"two-choice","111","404791","0.0-3.108-0.108","393","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","57"
"two-choice","112","407631","0.0-3.109-0.109","563","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","57"
"two-choice","113","410415","0.0-3.110-0.110","505","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","57"
"two-choice","114","413095","0.0-3.111-0.111","412","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","57"
"two-choice","115","415863","0.0-3.112-0.112","493","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","57"
"two-choice","116","418708","0.0-3.113-0.113","570","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","57"
"two-choice","117","421445","0.0-3.114-0.114","466","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","58"
"two-choice","118","424143","0.0-3.115-0.115","427","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","59"
"two-choice","119","426884","0.0-3.116-0.116","459","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","60"
"two-choice","120","429549","0.0-3.117-0.117","390","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","60"
"two-choice","121","432453","0.0-3.118-0.118","623","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","61"
"two-choice","122","435125","0.0-3.119-0.119","404","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","62"
"two-choice","123","437831","0.0-3.120-0.120","427","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","62"
"two-choice","124","440492","0.0-3.121-0.121","380","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","62"
